2026-07-02 01:53:59,773 | ERROR | MediaTranscriber | [0;31mERROR:[0m unable to download video data: HTTP Error 403: Forbidden
2026-07-02 02:07:58,324 | INFO | MediaTranscriber | Downloaded: Rick_Astley_-_Never_Gonna_Give_You_Up_Official_Video_4K_Remaster.mp4
2026-07-02 02:31:24,852 | ERROR | MediaTranscriber | [0;31mERROR:[0m [0;31mERROR:[0m Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
2026-07-02 02:34:59,177 | INFO | MediaTranscriber | Downloaded: Rick_Astley_-_Never_Gonna_Give_You_Up_Official_Video_4K_Remaster.webm
2026-07-02 09:23:06,607 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:23:08,878 | INFO | watchfiles.main | 2 changes detected
2026-07-02 09:26:49,435 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:26:51,019 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:32,116 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:33,660 | INFO | watchfiles.main | 2 changes detected
2026-07-02 09:27:34,076 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:34,429 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:34,788 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:35,151 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:35,505 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:35,861 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:36,326 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:36,757 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:37,113 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:37,471 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:37,831 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:38,191 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:38,549 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:38,906 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:39,269 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:39,628 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:39,983 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:40,343 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:40,703 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:41,065 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:41,428 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:41,788 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:42,149 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:42,512 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:42,872 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:43,234 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:43,592 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:43,954 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:44,313 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:44,767 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:45,132 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:45,494 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:45,852 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:46,208 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:46,565 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:46,921 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:47,281 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:47,641 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:48,000 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:48,358 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:48,717 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:49,071 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:49,432 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:49,789 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:50,150 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:50,509 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:50,868 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:51,227 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:51,587 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:27:51,947 | INFO | watchfiles.main | 2 changes detected
2026-07-02 09:27:53,804 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:28:31,854 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:28:32,957 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:28:43,070 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:28:43,980 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:31:03,195 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:31:05,168 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:35:02,228 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:35:03,308 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:36:13,674 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:36:15,528 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:36:34,133 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:36:35,313 | INFO | watchfiles.main | 2 changes detected
2026-07-02 09:36:36,186 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:36:36,572 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:36:36,929 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:36:37,286 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:36:37,648 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:36:38,018 | INFO | watchfiles.main | 1 change detected
2026-07-02 09:36:38,378 | INFO | watchfiles.main | 1 change detected
